Counter,nums,frency
"Counter({2: 2, 3: 2, 0: 1})",27,0.0135
"Counter({1: 2, 3: 1, 2: 1, 5: 1})",21,0.0105
"Counter({2: 2, 1: 1, 0: 1, 4: 1})",33,0.0165
"Counter({1: 2, 3: 2, 0: 1})",21,0.0105
"Counter({0: 2, 1: 1, 2: 1, 3: 1})",27,0.0135
"Counter({1: 2, 3: 2, 2: 1})",38,0.019
"Counter({2: 4, 1: 1})",11,0.0055
"Counter({2: 1, 6: 1, 1: 1, 3: 1, 0: 1})",8,0.004
"Counter({2: 2, 5: 1, 3: 1, 1: 1})",18,0.009
"Counter({2: 2, 5: 1, 1: 1, 4: 1})",8,0.004
"Counter({2: 2, 3: 2, 4: 1})",10,0.005
"Counter({0: 2, 2: 2, 1: 1})",15,0.0075
"Counter({3: 4, 5: 1})",2,0.001
"Counter({4: 2, 2: 2, 1: 1})",15,0.0075
"Counter({2: 3, 1: 1, 0: 1})",23,0.0115
"Counter({1: 2, 0: 2, 2: 1})",14,0.007
"Counter({0: 2, 2: 1, 3: 1, 4: 1})",13,0.0065
"Counter({2: 3, 4: 2})",5,0.0025
"Counter({1: 2, 0: 2, 4: 1})",6,0.003
Counter({2: 5}),4,0.002
"Counter({2: 3, 1: 1, 4: 1})",27,0.0135
"Counter({1: 2, 0: 1, 4: 1, 3: 1})",21,0.0105
"Counter({4: 2, 0: 1, 3: 1, 1: 1})",14,0.007
"Counter({1: 2, 2: 2, 4: 1})",31,0.0155
"Counter({1: 3, 0: 1, 2: 1})",17,0.0085
"Counter({2: 4, 3: 1})",9,0.0045
"Counter({2: 2, 1: 1, 0: 1, 5: 1})",9,0.0045
"Counter({2: 3, 5: 1, 0: 1})",5,0.0025
"Counter({2: 3, 5: 2})",1,0.0005
"Counter({3: 3, 4: 1, 0: 1})",4,0.002
"Counter({2: 3, 0: 2})",7,0.0035
"Counter({1: 2, 3: 1, 0: 1, 5: 1})",11,0.0055
"Counter({0: 3, 1: 1, 3: 1})",2,0.001
"Counter({0: 2, 2: 2, 3: 1})",11,0.0055
"Counter({3: 3, 2: 2})",18,0.009
"Counter({1: 2, 4: 1, 0: 1, 2: 1})",19,0.0095
"Counter({1: 2, 3: 1, 5: 1, 4: 1})",7,0.0035
"Counter({0: 2, 2: 2, 4: 1})",4,0.002
"Counter({1: 3, 4: 1, 3: 1})",11,0.0055
"Counter({1: 3, 4: 1, 0: 1})",3,0.0015
"Counter({2: 3, 4: 1, 0: 1})",10,0.005
"Counter({1: 4, 0: 1})",6,0.003
"Counter({3: 2, 4: 2, 0: 1})",1,0.0005
"Counter({1: 2, 5: 1, 2: 1, 4: 1})",11,0.0055
"Counter({3: 2, 4: 2, 5: 1})",2,0.001
"Counter({3: 3, 0: 1, 2: 1})",10,0.005
"Counter({4: 2, 1: 1, 3: 1, 5: 1})",3,0.0015
"Counter({4: 2, 3: 2, 2: 1})",3,0.0015
"Counter({3: 2, 1: 1, 5: 1, 2: 1})",10,0.005
"Counter({4: 2, 2: 1, 3: 1, 0: 1})",5,0.0025
"Counter({3: 3, 1: 1, 0: 1})",10,0.005
"Counter({3: 2, 0: 2, 1: 1})",9,0.0045
"Counter({1: 2, 4: 2, 2: 1})",17,0.0085
"Counter({2: 2, 0: 1, 5: 1, 3: 1})",13,0.0065
"Counter({5: 1, 3: 1, 2: 1, 1: 1, 4: 1})",10,0.005
"Counter({4: 3, 2: 1, 0: 1})",2,0.001
"Counter({1: 4, 4: 1})",9,0.0045
"Counter({1: 3, 7: 1, 0: 1})",1,0.0005
"Counter({0: 2, 1: 1, 6: 1, 4: 1})",1,0.0005
"Counter({0: 2, 1: 2, 3: 1})",8,0.004
"Counter({5: 1, 2: 1, 4: 1, 3: 1, 0: 1})",6,0.003
"Counter({1: 2, 7: 1, 3: 1, 2: 1})",2,0.001
"Counter({4: 2, 6: 1, 1: 1, 5: 1})",1,0.0005
"Counter({1: 2, 6: 1, 2: 1, 3: 1})",2,0.001
"Counter({3: 3, 5: 1, 2: 1})",4,0.002
"Counter({4: 3, 3: 1, 2: 1})",2,0.001
"Counter({1: 3, 6: 1, 2: 1})",6,0.003
"Counter({3: 3, 0: 2})",3,0.0015
"Counter({3: 3, 1: 2})",13,0.0065
"Counter({2: 4, 6: 1})",1,0.0005
"Counter({1: 4, 6: 1})",2,0.001
"Counter({0: 2, 6: 1, 1: 1, 2: 1})",4,0.002
"Counter({5: 2, 1: 1, 6: 1, 3: 1})",1,0.0005
"Counter({2: 2, 0: 1, 6: 1, 3: 1})",4,0.002
"Counter({3: 1, 1: 1, 4: 1, 5: 1, 6: 1})",1,0.0005
"Counter({3: 2, 0: 2, 4: 1})",2,0.001
"Counter({2: 2, 3: 2, 5: 1})",4,0.002
"Counter({2: 4, 0: 1})",11,0.0055
"Counter({1: 3, 5: 1, 3: 1})",3,0.0015
"Counter({1: 2, 4: 2, 3: 1})",7,0.0035
"Counter({2: 3, 3: 1, 4: 1})",12,0.006
"Counter({0: 2, 4: 1, 3: 1, 1: 1})",7,0.0035
"Counter({2: 2, 6: 1, 3: 1, 1: 1})",2,0.001
"Counter({5: 2, 2: 2, 0: 1})",2,0.001
"Counter({2: 2, 6: 1, 1: 1, 4: 1})",2,0.001
"Counter({1: 2, 7: 1, 3: 1, 0: 1})",1,0.0005
"Counter({2: 3, 5: 1, 3: 1})",8,0.004
"Counter({0: 3, 5: 1, 2: 1})",2,0.001
"Counter({2: 2, 6: 1, 0: 1, 1: 1})",5,0.0025
"Counter({1: 2, 6: 1, 0: 1, 3: 1})",2,0.001
"Counter({2: 2, 1: 2, 6: 1})",6,0.003
"Counter({0: 3, 2: 1, 1: 1})",3,0.0015
"Counter({4: 2, 5: 1, 3: 1, 0: 1})",1,0.0005
"Counter({3: 2, 2: 1, 6: 1, 1: 1})",4,0.002
"Counter({4: 2, 3: 1, 2: 1, 1: 1})",12,0.006
"Counter({3: 3, 5: 1, 1: 1})",4,0.002
"Counter({0: 3, 5: 1, 3: 1})",2,0.001
"Counter({3: 2, 5: 1, 0: 1, 4: 1})",3,0.0015
Counter({1: 5}),2,0.001
"Counter({3: 2, 4: 1, 2: 1, 0: 1})",16,0.008
"Counter({2: 2, 0: 1, 3: 1, 7: 1})",1,0.0005
"Counter({2: 3, 1: 1, 6: 1})",2,0.001
"Counter({1: 3, 4: 2})",1,0.0005
"Counter({2: 2, 7: 1, 1: 1, 0: 1})",1,0.0005
"Counter({2: 2, 3: 1, 7: 1, 4: 1})",1,0.0005
"Counter({2: 3, 0: 1, 6: 1})",3,0.0015
"Counter({0: 2, 7: 1, 2: 1, 1: 1})",3,0.0015
"Counter({3: 3, 0: 1, 6: 1})",1,0.0005
"Counter({1: 2, 4: 2, 0: 1})",8,0.004
"Counter({3: 2, 0: 1, 5: 1, 1: 1})",7,0.0035
"Counter({1: 3, 2: 2})",21,0.0105
"Counter({3: 3, 4: 1, 2: 1})",4,0.002
"Counter({1: 3, 5: 1, 0: 1})",5,0.0025
"Counter({0: 3, 3: 2})",3,0.0015
"Counter({0: 2, 2: 1, 1: 1, 5: 1})",5,0.0025
"Counter({0: 1, 1: 1, 3: 1, 5: 1, 4: 1})",2,0.001
"Counter({0: 3, 6: 1, 2: 1})",1,0.0005
"Counter({2: 3, 4: 1, 5: 1})",2,0.001
"Counter({1: 3, 5: 1, 4: 1})",3,0.0015
"Counter({0: 2, 5: 1, 4: 1, 1: 1})",3,0.0015
"Counter({0: 2, 4: 1, 1: 1, 2: 1})",16,0.008
"Counter({4: 2, 1: 1, 0: 1, 2: 1})",8,0.004
"Counter({2: 2, 4: 2, 0: 1})",4,0.002
"Counter({4: 2, 0: 2, 3: 1})",2,0.001
"Counter({5: 2, 1: 2, 2: 1})",2,0.001
"Counter({3: 2, 6: 1, 2: 1, 0: 1})",1,0.0005
"Counter({4: 2, 3: 2, 1: 1})",3,0.0015
"Counter({4: 1, 6: 1, 1: 1, 2: 1, 0: 1})",1,0.0005
"Counter({1: 3, 2: 1, 5: 1})",4,0.002
"Counter({3: 2, 5: 1, 2: 1, 0: 1})",3,0.0015
"Counter({2: 2, 4: 1, 5: 1, 3: 1})",2,0.001
"Counter({3: 2, 1: 2, 5: 1})",2,0.001
"Counter({0: 3, 3: 1, 4: 1})",1,0.0005
"Counter({0: 3, 1: 2})",2,0.001
"Counter({2: 2, 7: 1, 1: 1, 3: 1})",3,0.0015
"Counter({3: 2, 7: 1, 1: 1, 0: 1})",1,0.0005
"Counter({0: 4, 7: 1})",1,0.0005
"Counter({2: 3, 3: 1, 6: 1})",1,0.0005
"Counter({3: 2, 2: 2, 6: 1})",3,0.0015
"Counter({6: 1, 2: 1, 1: 1, 3: 1, 4: 1})",4,0.002
"Counter({1: 2, 6: 1, 2: 1, 0: 1})",4,0.002
"Counter({0: 2, 5: 2, 3: 1})",1,0.0005
"Counter({4: 3, 1: 1, 2: 1})",2,0.001
"Counter({3: 2, 1: 1, 5: 1, 4: 1})",2,0.001
"Counter({0: 2, 4: 2, 2: 1})",2,0.001
"Counter({0: 3, 4: 1, 2: 1})",2,0.001
"Counter({3: 3, 4: 2})",2,0.001
"Counter({1: 2, 5: 1, 2: 1, 7: 1})",1,0.0005
"Counter({4: 2, 2: 1, 1: 1, 5: 1})",3,0.0015
"Counter({1: 2, 3: 1, 6: 1, 4: 1})",1,0.0005
"Counter({0: 2, 2: 1, 5: 1, 3: 1})",2,0.001
"Counter({4: 3, 1: 2})",2,0.001
"Counter({2: 2, 4: 1, 3: 1, 6: 1})",2,0.001
"Counter({2: 3, 7: 1, 1: 1})",1,0.0005
"Counter({3: 2, 5: 1, 8: 1, 1: 1})",1,0.0005
"Counter({0: 2, 5: 1, 2: 1, 4: 1})",5,0.0025
"Counter({3: 1, 2: 1, 0: 1, 6: 1, 5: 1})",2,0.001
"Counter({3: 3, 4: 1, 5: 1})",1,0.0005
"Counter({5: 2, 2: 1, 0: 1, 1: 1})",1,0.0005
"Counter({3: 2, 0: 1, 1: 1, 6: 1})",2,0.001
"Counter({3: 2, 0: 1, 5: 1, 7: 1})",1,0.0005
"Counter({2: 1, 1: 1, 6: 1, 5: 1, 3: 1})",2,0.001
"Counter({1: 2, 4: 2, 5: 1})",1,0.0005
"Counter({3: 2, 5: 2, 2: 1})",1,0.0005
"Counter({1: 2, 3: 2, 6: 1})",2,0.001
"Counter({1: 4, 5: 1})",1,0.0005
"Counter({2: 2, 4: 2, 6: 1})",1,0.0005
"Counter({1: 2, 0: 1, 4: 1, 5: 1})",2,0.001
"Counter({0: 3, 1: 1, 5: 1})",1,0.0005
"Counter({4: 3, 3: 1, 0: 1})",1,0.0005
"Counter({0: 3, 1: 1, 7: 1})",1,0.0005
"Counter({4: 2, 0: 1, 2: 1, 5: 1})",1,0.0005
"Counter({0: 3, 3: 1, 6: 1})",1,0.0005
"Counter({3: 2, 1: 2, 7: 1})",1,0.0005
"Counter({2: 2, 5: 2, 3: 1})",1,0.0005
"Counter({0: 3, 2: 1, 7: 1})",1,0.0005
"Counter({2: 2, 4: 1, 0: 1, 6: 1})",1,0.0005
"Counter({3: 4, 0: 1})",1,0.0005
"Counter({3: 1, 0: 1, 6: 1, 2: 1, 4: 1})",2,0.001
"Counter({5: 2, 1: 1, 0: 1, 4: 1})",1,0.0005
"Counter({2: 2, 0: 2, 5: 1})",1,0.0005
"Counter({0: 2, 1: 2, 5: 1})",1,0.0005
"Counter({0: 2, 2: 1, 6: 1, 4: 1})",1,0.0005
"Counter({4: 2, 5: 1, 2: 1, 3: 1})",1,0.0005
"Counter({2: 4, 5: 1})",3,0.0015
"Counter({3: 2, 5: 1, 1: 1, 6: 1})",1,0.0005
"Counter({1: 1, 0: 1, 3: 1, 2: 1, 7: 1})",1,0.0005
"Counter({2: 2, 3: 1, 5: 1, 6: 1})",1,0.0005
"Counter({0: 3, 6: 1, 4: 1})",1,0.0005
"Counter({6: 2, 2: 1, 1: 1, 4: 1})",1,0.0005
"Counter({5: 2, 1: 1, 2: 1, 3: 1})",1,0.0005
"Counter({3: 3, 0: 1, 5: 1})",1,0.0005
"Counter({4: 2, 3: 1, 0: 1, 6: 1})",2,0.001
"Counter({3: 2, 0: 1, 4: 1, 7: 1})",1,0.0005
"Counter({2: 3, 4: 1, 6: 1})",1,0.0005
"Counter({0: 2, 2: 2, 7: 1})",1,0.0005
"Counter({5: 2, 1: 1, 3: 1, 0: 1})",1,0.0005
"Counter({1: 3, 4: 1, 6: 1})",1,0.0005
"Counter({4: 2, 0: 2, 5: 1})",1,0.0005
"Counter({4: 3, 3: 1, 1: 1})",1,0.0005
"Counter({4: 3, 0: 1, 7: 1})",1,0.0005
"Counter({1: 3, 3: 1, 6: 1})",2,0.001
"Counter({3: 2, 2: 1, 0: 1, 7: 1})",1,0.0005
"Counter({0: 2, 4: 2, 1: 1})",1,0.0005
"Counter({6: 2, 0: 1, 1: 1, 2: 1})",1,0.0005
"Counter({5: 2, 3: 2, 1: 1})",1,0.0005
"Counter({1: 2, 3: 1, 7: 1, 4: 1})",1,0.0005
"Counter({2: 2, 0: 1, 5: 1, 4: 1})",1,0.0005
"Counter({4: 3, 0: 1, 1: 1})",1,0.0005
